Name,Code,Barcode Symbology,Brand,Category Code,Unit Code,Sale Unit Code, Purchase Unit Code,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Image,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6,HSN Code,Secondary Name,Supplier Name,Supplier Part No,Supplier Price
NIMBOOZ,,8.90E+12,7UP,,,,,,20,,,,NIMBOOZ.png,,,,,,,,,,,,,
PEDIASURE VANILLA DELIGHT HEALTH FOOD,,8.90E+12,ABBOTT,,,,,,580,,,,PEDIASURE12.png,,,,,,,,,,,,,
PEDIASURE CHOCOLATE HEALTH FOOD,,8.90E+12,ABBOTT,,,,,,580,,,,PEDIASURECHOCOLATE.png,,,,,,,,,,,,,
PEDIASURE VANILLA DELIGHT HEALTH FOOD,,8.90E+12,ABBOTT,,,,,,"1,240.00",,,,PEDIASUREVANILLA.png,,,,,,,,,,,,,
PEDIASURE CHOCOLATE HEALTH FOOD,,8.90E+12,ABBOTT,,,,,,"1,240.00",,,,PEDIASURECHOCOLATE1kg.png,,,,,,,,,,,,,
PEDIASURE VANILLA DELIGHT HEALTH FOOD,,8.90E+12,ABBOTT,,,,,,315,,,,PEDIASUReVANILLA200g.png,,,,,,,,,,,,,
PEDIASURE CHOCOLATE HEALTH FOOD,,8.90E+12,ABBOTT,,,,,,315,,,,PEDIASURECHOCOLATE400g.png,,,,,,,,,,,,,
CARAMEL BLISS,,8.90E+12,ACT II,,,,,,65,,,,CARAMELBLISS.jpeg,,,,,,,,,,,,,
GOLDEN SIZZLE,,8.90E+12,ACT II,,,,,,33,,,,GOLDENSIZZLE.JPEG,,,,,,,,,,,,,
CLASSIC SALTED,,8.90E+12,ACT II,,,,,,33,,,,CLASSICSALTED.JPEG,,,,,,,,,,,,,
CLASSIC SALTED,,8.90E+12,ACT II,,,,,,44,,,,CLASSICSALTED.JPEG,,,,,,,,,,,,,
CHEESE 2+1 FREE,,8.90E+12,ACT II,,,,,,100,,,,CHEESE2+1FREE.JPEG,,,,,,,,,,,,,
CHEEDAR CHEESE,,8.90E+12,ACT II,,,,,,180,,,,CHEEDARCHEESE.JPEG,,,,,,,,,,,,,
