Name,code,Barcode Symbology,Brand,Category Code,Unit Code,Sale Unit Code, Purchase Unit Code,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Image,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6,HSN Code,Secondary Name,Supplier Name,Supplier Part No,Supplier Price
COFFEE,8901030733994,code128,BRU,C1,1111,,,2.00,2.00,,,,,,,,,,,,,,,Mr Demo Supplier,,2.00
MONACO,8901719111440,code128,PARLE,C1,1111,,,5.00,5.00,,,,,,,,,,,,,,,Mr Demo Supplier,,5.00
PARLE-G,8901719112393,code128,PARLE-G,C1,1111,,,5.00,5.00,,,,,,,,,,,,,,,Mr Demo Supplier,,5.00
BISLERI 250 ML,8906017290026,code128,BISLERI,C1,1111,,,6.00,6.00,,,,,,,,,,,,,,,Mr Demo Supplier,,6.00
MINERAL WATER,8906017290026,code128,BISLERI,C1,1111,,,6.00,6.00,,,,,,,,,,,,,,,Mr Demo Supplier,,6.00
ENO LEMON FLAVOUR (SACHET),8901571006854,code128,ENO,C1,1111,,,8.00,8.00,,,,,,,,,,,,,,,Mr Demo Supplier,,8.00
AAA BATTERY,89003565,code128,PANASONIC,C1,1111,,,10.00,10.00,,,,,,,,,,,,,,,Mr Demo Supplier,,10.00
COFFEE,89008560,code128,NESCAFE,C1,1111,,,10.00,10.00,,,,,,,,,,,,,,,Mr Demo Supplier,,10.00
COFFEE,8901030783029,code128,BRU,C1,1111,,,10.00,10.00,,,,,,,,,,,,,,,Mr Demo Supplier,,10.00
50-50,8901063016699,code128,BRITANNIA,C1,1111,,,10.00,10.00,,,,,,,,,,,,,,,Mr Demo Supplier,,10.00
5 STAR CHOCLATE,8901233036625,code128,DABUR,C1,1111,,,10.00,10.00,,,,,,,,,,,,,,,Mr Demo Supplier,,10.00
AA BATTERY,8901255000185,code128,PANASONIC,C1,1111,,,10.00,10.00,,,,,,,,,,,,,,,Mr Demo Supplier,,10.00
KURKURE,8901491361026,code128,LAYS,C1,1111,,,10.00,10.00,,,,,,,,,,,,,,,Mr Demo Supplier,,10.00
UNCLE CHIPS,8901491410106,code128,LAYS,C1,1111,,,10.00,10.00,,,,,,,,,,,,,,,Mr Demo Supplier,,10.00
BLUE LAYS,8901491503020,code128,LAYS,C1,1111,,,10.00,10.00,,,,,,,,,,,,,,,Mr Demo Supplier,,10.00
RED LAYS,8901491503044,code128,LAYS,C1,1111,,,10.00,10.00,,,,,,,,,,,,,,,Mr Demo Supplier,,10.00
MONACO,8901719111464,code128,PARLE,C1,1111,,,10.00,10.00,,,,,,,,,,,,,,,Mr Demo Supplier,,10.00
FROOTI ,8902579000233,code128,PARLE AGRO,C1,1111,,,10.00,10.00,,,,,,,,,,,,,,,Mr Demo Supplier,,10.00
OREO,8906032011019,code128,,C1,1111,,,10.00,10.00,,,,,,,,,,,,,,,Mr Demo Supplier,,10.00
KETCHUP,8901030765353,code128,HUL,C1,1111,,,15.00,15.00,,,,,,,,,,,,,,,Mr Demo Supplier,,15.00
MASALA OATS,8901088068734,code128,SAFFOLA,C1,1111,,,15.00,15.00,,,,,,,,,,,,,,,Mr Demo Supplier,,15.00
