Name,Code,Barcode Symbology,Brand,Category Code,Unit Code,Sale Unit Code,Purchase Unit Code,Cost,Price,Alert Quantity,Tax Rate,Tax Method,Image,Sub category Code,Product Variants,Product Custom Field 1,Product Custom Field 2,Product Custom Field 3,Product Custom Field 4,Product Custom Field 5,Product Custom Field 6,HSN Code,Secondary Name,Supplier Name,Supplier Part No.,Supplier Price,Quantity,Details,Product Details
Product test,112233,code128,ABBOTT,C1,1111,1111,1111,50,45.1,50,GST @6%,Inclusive,a8ac8b1f78bda9d6dc8ce94386434547.jpg,,test color|test size,,,,,,,,,compan,,40,725,<p>product details on invoice </p>,<p>this is product added for demo purpose</p>
myproduct,11223344,code128,,C1,1111,1111,1111,50,45,50,,Exclusive,44e162b66c055d9dcbe2e2124b6eb70f.jpg,,,,,,,,,,,,,,,,
NIVEA SOFT MOISTURISER,42204084,code128,NIVEA,cat123,1111,1111,1111,310,310,50,,Inclusive,1f422a6df272044abec2054c0386ce87.png,,,,,,,,,,,Mr Demo Supplier,,310,960,,
NIVEA SOFT MOISTURISER,42204091,code128,NIVEA,cat123,1111,1111,1111,160,160,0,,Inclusive,e169b3abf491eca8776faaeaf7dc2049.png,,,,,,,,,,,Mr Demo Supplier,,160,1000,,
NIVEA SOFT MOISTURISER,42204169,code128,NIVEA,cat123,1111,1111,1111,85,85,0,,Inclusive,f584c92e2f70227b845f38a2f73f26e4.png,,,,,,,,,,,Mr Demo Supplier,,85,1000,,
ARIEL TOP LOAD,4.90243E+12,code128,P&G,cat123,1111,1111,1111,230,230,0,,Inclusive,7905841b0cff965827358fa03600d694.png,,,,,,,,,,,Mr Demo Supplier,,230,1000,,
ARIEL COMPLETE,4.90243E+12,code128,P&G,cat123,1111,1111,1111,280,280,0,,Inclusive,8e503c8f3b3afd461da8ecfb83db782e.png,,,,,,,,,,,Mr Demo Supplier,,280,1000,,
HEAD AND SHOULDER SILKY BLACK SHAMPOO,4.90243E+12,code128,P&G,cat123,1111,1111,1111,600,600,0,,Inclusive,34587439d3c467dee8a3390eece14e32.png,,,,,,,,,,,Mr Demo Supplier,,600,1000,,
PANTENE ADVANCE SOLUTION SHAMPOO,4.90243E+12,code128,P&G,cat123,1111,1111,1111,550,550,0,,Inclusive,82b593ed01e83116d2fd889019255093.png,,,,,,,,,,,Mr Demo Supplier,,550,1000,,
PAMPERS SMALL,4.90243E+12,code128,P&G,cat123,1111,1111,1111,199,199,0,,Inclusive,d2fb01a89f4ab5913692a88fe2e3b817.png,,,,,,,,,,,Mr Demo Supplier,,199,1000,,
PAMPERS MEDIUM,4.90243E+12,code128,P&G,cat123,1111,1111,1111,199,199,0,,Inclusive,928654ec27b96f3d702257b726230a4b.png,,,,,,,,,,,Mr Demo Supplier,,199,1000,,
PAMPERS LARGE,4.90243E+12,code128,P&G,cat123,1111,1111,1111,199,199,0,,Inclusive,d2dc80024e4f14dc9bbe612e43fccd6a.png,,,,,,,,,,,Mr Demo Supplier,,199,1000,,
WHISPER ULTRA CLEAN,4.90243E+12,code128,P&G,cat123,1111,1111,1111,430,430,0,,Inclusive,96239c8924664ae4d6457a9343ac0f73.png,,,,,,,,,,,Mr Demo Supplier,,430,1000,,
PANTENE HAIRFALL CONTROL 2IN1,4.90243E+12,code128,P&G,cat123,1111,1111,1111,150,150,0,,Inclusive,2e852067f477985ab8765c5869c8538a.png,,,,,,,,,,,Mr Demo Supplier,,150,1000,,
GILLETTE SENSATIVE SHAVING FOAM,4.90243E+12,code128,P&G,cat123,1111,1111,1111,199,199,0,,Inclusive,a769bd72394e889ab1711b36d6df41c3.png,,,,,,,,,,,Mr Demo Supplier,,199,1000,,
GILLETTE REGULAR SHAVING FOAM,4.90243E+12,code128,P&G,cat123,1111,1111,1111,199,199,0,,Inclusive,89ecbc62ca6d45babe87b952bd67280f.png,,,,,,,,,,,Mr Demo Supplier,,199,1000,,
