Name,Code,Barcode Symbology,Brand,Category Code,Unit Code,Sale Unit Code,Purchase Unit Code,Cost,Price,Alert Quantity,Tax Rate,Tax Method,Image,Sub category Code,Product Variants,Product Custom Field 1,Product Custom Field 2,Product Custom Field 3,Product Custom Field 4,Product Custom Field 5,Product Custom Field 6,HSN Code,Secondary Name,Supplier Name,Supplier Part No.,Supplier Price,Quantity,Details,Product Details
Product test,112233,code128,,C1,1111,1111,1111,50,45,50,GST @6%,Exclusive,6577689ff60069c327a2bb71397d141c.png,,,,,,,,,,,compan,123,50,500,<p>product details on invoice </p>,<p>this is product added for demo purpose</p>
demo product,7011583846,code128,ABBOTT,C1,1111,1111,1111,23423,23423,30,No Tax,Exclusive,6577689ff60069c327a2bb71397d141c.png,,,,,,,,,,,Mr Demo Supplier,,,500,<p>product details on invoice </p>,<p>this is product added for demo purpose</p>
COFFEE,8901030733994,code128,BRU,C1,1111,1111,1111,2,2,30,No Tax,Exclusive,6577689ff60069c327a2bb71397d141c.png,,,,,,,,,,,Mr Demo Supplier,,,500,<p>product details on invoice </p>,<p>this is product added for demo purpose</p>
MONACO,8901719111440,code128,PARLE,C1,1111,1111,1111,5,5,30,No Tax,Exclusive,6577689ff60069c327a2bb71397d141c.png,,,,,,,,,,,Mr Demo Supplier,,,500,<p>product details on invoice </p>,<p>this is product added for demo purpose</p>
PARLE-G,8901719112393,code128,PARLE-G,C1,1111,1111,1111,5,5,30,No Tax,Exclusive,6577689ff60069c327a2bb71397d141c.png,,,,,,,,,,,Mr Demo Supplier,,,500,<p>product details on invoice </p>,<p>this is product added for demo purpose</p>
BISLERI 250 ML,8906017290026,code128,BISLERI,C1,1111,1111,1111,6,6,30,No Tax,Exclusive,6577689ff60069c327a2bb71397d141c.png,,,,,,,,,,,Mr Demo Supplier,,,500,<p>product details on invoice </p>,<p>this is product added for demo purpose</p>
MINERAL WATER,8906017290026,code128,BISLERI,C1,1111,1111,1111,6,6,30,No Tax,Exclusive,6577689ff60069c327a2bb71397d141c.png,,,,,,,,,,,Mr Demo Supplier,,,500,<p>product details on invoice </p>,<p>this is product added for demo purpose</p>
ENO LEMON FLAVOUR (SACHET),8901571006854,code128,ENO,C1,1111,1111,1111,8,8,30,No Tax,Exclusive,6577689ff60069c327a2bb71397d141c.png,,,,,,,,,,,Mr Demo Supplier,,,500,<p>product details on invoice </p>,<p>this is product added for demo purpose</p>
AAA BATTERY,89003565,code128,PANASONIC,C1,1111,1111,1111,10,10,30,No Tax,Exclusive,6577689ff60069c327a2bb71397d141c.png,,,,,,,,,,,Mr Demo Supplier,,,500,<p>product details on invoice </p>,<p>this is product added for demo purpose</p>
COFFEE,89008560,code128,NESCAFE,C1,1111,1111,1111,10,10,30,No Tax,Exclusive,6577689ff60069c327a2bb71397d141c.png,,,,,,,,,,,Mr Demo Supplier,,,500,<p>product details on invoice </p>,<p>this is product added for demo purpose</p>
COFFEE,8901030783029,code128,BRU,C1,1111,1111,1111,10,10,30,No Tax,Exclusive,6577689ff60069c327a2bb71397d141c.png,,,,,,,,,,,Mr Demo Supplier,,,500,<p>product details on invoice </p>,<p>this is product added for demo purpose</p>
50-50,8901063016699,code128,BRITANNIA,C1,1111,1111,1111,10,10,30,No Tax,Exclusive,6577689ff60069c327a2bb71397d141c.png,,,,,,,,,,,Mr Demo Supplier,,,500,<p>product details on invoice </p>,<p>this is product added for demo purpose</p>
5 STAR CHOCLATE,8901233036625,code128,DABUR,C1,1111,1111,1111,10,10,30,No Tax,Exclusive,6577689ff60069c327a2bb71397d141c.png,,,,,,,,,,,Mr Demo Supplier,,,500,<p>product details on invoice </p>,<p>this is product added for demo purpose</p>
AA BATTERY,8901255000185,code128,PANASONIC,C1,1111,1111,1111,10,10,30,No Tax,Exclusive,6577689ff60069c327a2bb71397d141c.png,,,,,,,,,,,Mr Demo Supplier,,,500,<p>product details on invoice </p>,<p>this is product added for demo purpose</p>
KURKURE,8901491361026,code128,LAYS,C1,1111,1111,1111,10,10,30,No Tax,Exclusive,6577689ff60069c327a2bb71397d141c.png,,,,,,,,,,,Mr Demo Supplier,,,500,<p>product details on invoice </p>,<p>this is product added for demo purpose</p>
UNCLE CHIPS,8901491410106,code128,LAYS,C1,1111,1111,1111,10,10,30,No Tax,Exclusive,6577689ff60069c327a2bb71397d141c.png,,,,,,,,,,,Mr Demo Supplier,,,500,<p>product details on invoice </p>,<p>this is product added for demo purpose</p>
BLUE LAYS,8901491503020,code128,LAYS,C1,1111,1111,1111,10,10,30,No Tax,Exclusive,6577689ff60069c327a2bb71397d141c.png,,,,,,,,,,,Mr Demo Supplier,,,500,<p>product details on invoice </p>,<p>this is product added for demo purpose</p>
RED LAYS,8901491503044,code128,LAYS,C1,1111,1111,1111,10,10,30,No Tax,Exclusive,6577689ff60069c327a2bb71397d141c.png,,,,,,,,,,,Mr Demo Supplier,,,500,<p>product details on invoice </p>,<p>this is product added for demo purpose</p>
MONACO,8901719111464,code128,PARLE,C1,1111,1111,1111,10,10,30,No Tax,Exclusive,6577689ff60069c327a2bb71397d141c.png,,,,,,,,,,,Mr Demo Supplier,,,500,<p>product details on invoice </p>,<p>this is product added for demo purpose</p>
FROOTI ,8902579000233,code128,PARLE AGRO,C1,1111,1111,1111,10,10,30,No Tax,Exclusive,6577689ff60069c327a2bb71397d141c.png,,,,,,,,,,,Mr Demo Supplier,,,500,<p>product details on invoice </p>,<p>this is product added for demo purpose</p>
OREO,8906032011019,code128,PARLE AGRO,C1,1111,1111,1111,10,10,30,No Tax,Exclusive,6577689ff60069c327a2bb71397d141c.png,,,,,,,,,,,Mr Demo Supplier,,,500,<p>product details on invoice </p>,<p>this is product added for demo purpose</p>
KETCHUP,8901030765353,code128,HUL,C1,1111,1111,1111,15,15,30,No Tax,Exclusive,6577689ff60069c327a2bb71397d141c.png,,,,,,,,,,,Mr Demo Supplier,,,500,<p>product details on invoice </p>,<p>this is product added for demo purpose</p>
MASALA OATS,8901088068734,code128,SAFFOLA,C1,1111,1111,1111,15,15,30,No Tax,Exclusive,6577689ff60069c327a2bb71397d141c.png,,,,,,,,,,,Mr Demo Supplier,,,500,<p>product details on invoice </p>,<p>this is product added for demo purpose</p>
MASALA OATS,8901088068758,code128,SAFFOLA,C1,1111,1111,1111,15,15,30,No Tax,Exclusive,6577689ff60069c327a2bb71397d141c.png,,,,,,,,,,,Mr Demo Supplier,,,500,<p>product details on invoice </p>,<p>this is product added for demo purpose</p>
PEPSI,8902080104024,code128,LEHAR PEPSI,C1,1111,1111,1111,15,15,30,No Tax,Exclusive,6577689ff60069c327a2bb71397d141c.png,,,,,,,,,,,Mr Demo Supplier,,,500,<p>product details on invoice </p>,<p>this is product added for demo purpose</p>
PRESTO RAZOR,4902430839754,code128,P&G,C1,1111,1111,1111,20,20,30,No Tax,Exclusive,6577689ff60069c327a2bb71397d141c.png,,,,,,,,,,,Mr Demo Supplier,,,500,<p>product details on invoice </p>,<p>this is product added for demo purpose</p>
NUTRI CHOICE,8901063142015,code128,BRITANNIA,C1,1111,1111,1111,20,20,30,No Tax,Exclusive,6577689ff60069c327a2bb71397d141c.png,,,,,,,,,,,Mr Demo Supplier,,,500,<p>product details on invoice </p>,<p>this is product added for demo purpose</p>
DORITOS,8901491000208,code128,LAYS,C1,1111,1111,1111,20,20,30,No Tax,Exclusive,6577689ff60069c327a2bb71397d141c.png,,,,,,,,,,,Mr Demo Supplier,,,500,<p>product details on invoice </p>,<p>this is product added for demo purpose</p>
RED LAYS,8901491101820,code128,LAYS,C1,1111,1111,1111,20,20,30,No Tax,Exclusive,6577689ff60069c327a2bb71397d141c.png,,,,,,,,,,,Mr Demo Supplier,,,500,<p>product details on invoice </p>,<p>this is product added for demo purpose</p>
BLUE LAYS,8901491101844,code128,LAYS,C1,1111,1111,1111,20,20,30,No Tax,Exclusive,6577689ff60069c327a2bb71397d141c.png,,,,,,,,,,,Mr Demo Supplier,,,500,<p>product details on invoice </p>,<p>this is product added for demo purpose</p>
CHILE LEMON GREEN LAYS,8901491981552,code128,LAYS,C1,1111,1111,1111,20,20,30,No Tax,Exclusive,6577689ff60069c327a2bb71397d141c.png,,,,,,,,,,,Mr Demo Supplier,,,500,<p>product details on invoice </p>,<p>this is product added for demo purpose</p>
SPRITE 250ML,8901764032912,code128,COCA COLA,C1,1111,1111,1111,20,20,30,No Tax,Exclusive,6577689ff60069c327a2bb71397d141c.png,,,,,,,,,,,Mr Demo Supplier,,,500,<p>product details on invoice </p>,<p>this is product added for demo purpose</p>
PULPY ORANGE,8901764362804,code128,COCA COLA,C1,1111,1111,1111,20,20,30,No Tax,Exclusive,6577689ff60069c327a2bb71397d141c.png,,,,,,,,,,,Mr Demo Supplier,,,500,<p>product details on invoice </p>,<p>this is product added for demo purpose</p>
NIMBOOZ,8902080334179,code128,7UP,C1,1111,1111,1111,20,20,30,No Tax,Exclusive,6577689ff60069c327a2bb71397d141c.png,,,,,,,,,,,Mr Demo Supplier,,,500,<p>product details on invoice </p>,<p>this is product added for demo purpose</p>
SALT,8904043901015,code128,TATA,C1,1111,1111,1111,20,20,30,No Tax,Exclusive,6577689ff60069c327a2bb71397d141c.png,,,,,,,,,,,Mr Demo Supplier,,,500,<p>product details on invoice </p>,<p>this is product added for demo purpose</p>
BISLERI 1L,8906017290040,code128,BISLERI,C1,1111,1111,1111,20,20,30,No Tax,Exclusive,6577689ff60069c327a2bb71397d141c.png,,,,,,,,,,,Mr Demo Supplier,,,500,<p>product details on invoice </p>,<p>this is product added for demo purpose</p>
GILLETTE GUARD RAZOR,4902430818858,code128,P&G,C1,1111,1111,1111,22,22,30,No Tax,Exclusive,6577689ff60069c327a2bb71397d141c.png,,,,,,,,,,,Mr Demo Supplier,,,500,<p>product details on invoice </p>,<p>this is product added for demo purpose</p>
CORNFLOUR,8901030518591,code128,BROWN & POLSON,C1,1111,1111,1111,25,25,30,No Tax,Exclusive,6577689ff60069c327a2bb71397d141c.png,,,,,,,,,,,Mr Demo Supplier,,,500,<p>product details on invoice </p>,<p>this is product added for demo purpose</p>
BROWN & POLSON CORNFLOUR,8901030518591,code128,HUL,C1,1111,1111,1111,25,25,30,No Tax,Exclusive,6577689ff60069c327a2bb71397d141c.png,,,,,,,,,,,Mr Demo Supplier,,,500,<p>product details on invoice </p>,<p>this is product added for demo purpose</p>
TOMATO PUREE,8901030561603,code128,HUL,C1,1111,1111,1111,25,25,30,No Tax,Exclusive,6577689ff60069c327a2bb71397d141c.png,,,,,,,,,,,Mr Demo Supplier,,,500,<p>product details on invoice </p>,<p>this is product added for demo purpose</p>
FLAVOURED MILK ELAICHI,8901262151573,code128,AMUL,C1,1111,1111,1111,25,25,30,No Tax,Exclusive,6577689ff60069c327a2bb71397d141c.png,,,,,,,,,,,Mr Demo Supplier,,,500,<p>product details on invoice </p>,<p>this is product added for demo purpose</p>
MICROWAVE BUTTER,8901512507600,code128,ACT II,C1,1111,1111,1111,25,25,30,No Tax,Exclusive,6577689ff60069c327a2bb71397d141c.png,,,,,,,,,,,Mr Demo Supplier,,,500,<p>product details on invoice </p>,<p>this is product added for demo purpose</p>
