Name,Code,Barcode Symbology,Brand,Category Code,Unit Code,Sale Unit Code, Purchase Unit Code,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Image,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6,HSN Code,Secondary Name,Supplier Name,Supplier Part No,Supplier Price
NIMBOOZ,,8902080334179,7UP,,,,,, 20.00 ,,,,,,,,,,,,,,,,,
PEDIASURE VANILLA DELIGHT HEALTH FOOD,,8904145911844,ABBOTT,,,,,, 580.00 ,,,,,,,,,,,,,,,,,
PEDIASURE CHOCOLATE HEALTH FOOD,,8904145911929,ABBOTT,,,,,, 580.00 ,,,,,,,,,,,,,,,,,
PEDIASURE VANILLA DELIGHT HEALTH FOOD,,8904145911875,ABBOTT,,,,,," 1,240.00 ",,,,,,,,,,,,,,,,,
PEDIASURE CHOCOLATE HEALTH FOOD,,8904145911950,ABBOTT,,,,,," 1,240.00 ",,,,,,,,,,,,,,,,,
PEDIASURE VANILLA DELIGHT HEALTH FOOD,,8904145911820,ABBOTT,,,,,, 315.00 ,,,,,,,,,,,,,,,,,
PEDIASURE CHOCOLATE HEALTH FOOD,,8904145911905,ABBOTT,,,,,, 315.00 ,,,,,,,,,,,,,,,,,
CARAMEL BLISS,,8901512562906,ACT II,,,,,, 65.00 ,,,,,,,,,,,,,,,,,
GOLDEN SIZZLE,,8901512564405,ACT II,,,,,, 33.00 ,,,,,,,,,,,,,,,,,
CLASSIC SALTED,,8901512564306,ACT II,,,,,, 33.00 ,,,,,,,,,,,,,,,,,
CLASSIC SALTED,,8901512548405,ACT II,,,,,, 44.00 ,,,,,,,,,,,,,,,,,
CHEESE 2+1 FREE,,8901512562203,ACT II,,,,,, 100.00 ,,,,,,,,,,,,,,,,,
CHEEDAR CHEESE,,8901512507204,ACT II,,,,,, 180.00 ,,,,,,,,,,,,,,,,,
GOLDEN SIZZLE,,8901512548504,ACT II,,,,,, 44.00 ,,,,,,,,,,,,,,,,,
XTREME BUTTER,,8901512546104,ACT II,,,,,, 30.00 ,,,,,,,,,,,,,,,,,
BUTTER PEPPER,,8901512540508,ACT II,,,,,, 30.00 ,,,,,,,,,,,,,,,,,
BUTTER DELIGHT,,8901512541901,ACT II,,,,,, 30.00 ,,,,,,,,,,,,,,,,,
MOVIE THEATRE BUTTER,,8901512556301,ACT II,,,,,, 30.00 ,,,,,,,,,,,,,,,,,
MICROWAVE BUTTER,,8901512507600,ACT II,,,,,, 25.00 ,,,,,,,,,,,,,,,,,
MICROWAVE ORIGINAL,,8901512507709,ACT II,,,,,, 25.00 ,,,,,,,,,,,,,,,,,
MICROWAVE BUTTER LOVER,,8901512506405,ACT II,,,,,, 195.00 ,,,,,,,,,,,,,,,,,
MICROWAVE BUTTER,,8901512506306,ACT II,,,,,, 195.00 ,,,,,,,,,,,,,,,,,
CLASSIC SALTED,,,ACT II,,,,,, 10.00 ,,,,,,,,,,,,,,,,,
CLASSIC SALTED COMBO,,8901512540102,ACT II,,,,,, 50.00 ,,,,,,,,,,,,,,,,,
SOOJI,,8901524001110,AHAR,,,,,, 41.00 ,,,,,,,,,,,,,,,,,
MAIDA,,8901524000410,AHAR,,,,,, 40.00 ,,,,,,,,,,,,,,,,,
BESAN,,8901524000212,AHAR,,,,,, 65.00 ,,,,,,,,,,,,,,,,,
POHA,,8901524001318,AHAR,,,,,, 70.00 ,,,,,,,,,,,,,,,,,
ROSTED DALIYA,,8901524000366,AHAR,,,,,, 66.00 ,,,,,,,,,,,,,,,,,
BAKING SODA,,,AJANTA,,,,,, 30.00 ,,,,,,,,,,,,,,,,,
VANILA FLAVOURS,,,AJANTA,,,,,, 30.00 ,,,,,,,,,,,,,,,,,
BAKING POWDER,,,AJANTA,,,,,, 24.00 ,,,,,,,,,,,,,,,,,
