Name,Code,Barcode Symbology,Brand,Category Code,Unit Code,Sale Unit Code,Purchase Unit Code,Cost,Price,Alert Quantity,Tax Rate,Tax Method,Image,Sub category Code,Product Variants,Product Custom Field 1,Product Custom Field 2,Product Custom Field 3,Product Custom Field 4,Product Custom Field 5,Product Custom Field 6,HSN Code,Secondary Name,Supplier Name,Supplier Part No.,Supplier Price,Quantity,Details,Product Details
CORNFLOUR,291,code128,BROWN&POLSON,GROCERY&STAPLES,1111,1111,1111, 25.00 , 23.75 ,1,,Inclusive,CORNFLOUR.jpg,ATTA&OTHERFLOURS,,,,,,,,,,,,,,,
AASHIRWAAD ATTA MULTIGRAIN 5KGS,297,code128,ITC,GROCERY&STAPLES,1111,1111,1111, 295.00 , 280.25 ,1,,Inclusive,AASHIRWAADATTAMULTIGRAIN5KGS.jpg,ATTA&OTHERFLOURS,,,,,,,,,,,,,,,
AASHIRWAAD ATTA SELECT 5KGS,298,code128,ITC,GROCERY&STAPLES,1111,1111,1111, 295.00 , 280.25 ,1,,Inclusive,AASHIRWAADATTASELECT5KGS.jpg,ATTA&OTHERFLOURS,,,,,,,,,,,,,,,
RAJDHANI BESAN 500GMS,305,code128,RAJDHANI,GROCERY&STAPLES,1111,1111,1111, 60.00 , 50.00 ,1,,Inclusive,RAJDHANIBESAN500GMS.jpg,ATTA&OTHERFLOURS,,,,,,,,,,,,,,,
RAJDHANI SOOJI 500GMS,306,code128,RAJDHANI,GROCERY&STAPLES,1111,1111,1111, 39.00 , 32.00 ,1,,Inclusive,RAJDHANISOOJI500GMS.jpg,ATTA&OTHERFLOURS,,,,,,,,,,,,,,,
RAJDHANI MAIDA 500GMS,308,code128,RAJDHANI,GROCERY&STAPLES,1111,1111,1111, 39.00 , 32.00 ,1,,Inclusive,RAJDHANIMAIDA500GMS.jpg,ATTA&OTHERFLOURS,,,,,,,,,,,,,,,
AHAR SOOJI 500GMS,346,code128,AHAR,GROCERY&STAPLES,1111,1111,1111, 41.00 , 35.00 ,1,,Inclusive,AHARSOOJI500GMS.jpg,ATTA&OTHERFLOURS,,,,,,,,,,,,,,,
AHAR MAIDA 500GMS,347,code128,AHAR,GROCERY&STAPLES,1111,1111,1111, 40.00 , 35.00 ,1,,Inclusive,AHARMAIDA500GMS.jpg,ATTA&OTHERFLOURS,,,,,,,,,,,,,,,
AHAR BESAN 500GMS,348,code128,AHAR,GROCERY&STAPLES,1111,1111,1111, 65.00 , 55.00 ,1,,Inclusive,AHARBESAN500GMS.jpg,ATTA&OTHERFLOURS,,,,,,,,,,,,,,,
NESTLE LACTOGEN 3 BABY FOOD,100,code128,NESTLE,BABYCARE,1111,1111,1111, 310.00 , 300.00 ,1,,Inclusive,NESTLELACTOGEN3BABYFOOD.jpg,BABYFOOD,,,,,,,,,,,,,,,
NESTLE LACTOGEN 2 BABY FOOD,101,code128,NESTLE,BABYCARE,1111,1111,1111, 320.00 , 310.00 ,1,,Inclusive,NESTLELACTOGEN2BABYFOOD.jpg,BABYFOOD,,,,,,,,,,,,,,,
NESTLE LACTOGEN 1 BABY FOOD,102,code128,NESTLE,BABYCARE,1111,1111,1111, 330.00 , 330.00 ,1,,Inclusive,NESTLELACTOGEN1BABYFOOD.jpg,BABYFOOD,,,,,,,,,,,,,,,
NESTLE NAN PRO 1 BABY FOOD,103,code128,NESTLE,BABYCARE,1111,1111,1111, 610.00 , 590.00 ,1,,Inclusive,NESTLENANPRO1BABYFOOD.jpg,BABYFOOD,,,,,,,,,,,,,,,
NESTLE NAN PRO 4 BABY FOOD,104,code128,NESTLE,BABYCARE,1111,1111,1111, 580.00 , 560.00 ,1,,Inclusive,NESTLENANPRO4BABYFOOD.jpg,BABYFOOD,,,,,,,,,,,,,,,
NESTLE NAN PRO 2 BABY FOOD,105,code128,NESTLE,BABYCARE,1111,1111,1111, 605.00 , 585.00 ,1,,Inclusive,NESTLENANPRO2BABYFOOD.jpg,BABYFOOD,,,,,,,,,,,,,,,
PEDIASURE VANILLA DELIGHT HEALTH FOOD,106,code128,ABBOTT,BABYCARE,1111,1111,1111, 580.00 , 545.00 ,1,,Inclusive,PEDIASUREVANILLADELIGHTHEALTHFOOD.jpg,BABYFOOD,,,,,,,,,,,,,,,
PEDIASURE CHOCOLATE HEALTH FOOD,107,code128,ABBOTT,BABYCARE,1111,1111,1111, 580.00 , 545.00 ,1,,Inclusive,PEDIASURECHOCOLATEHEALTHFOOD.jpg,BABYFOOD,,,,,,,,,,,,,,,
AMULSPRAY INFANT FOOD,108,code128,AMUL,BABYCARE,1111,1111,1111, 395.00 , 385.00 ,1,,Inclusive,AMULSPRAYINFANTFOOD.jpg,BABYFOOD,,,,,,,,,,,,,,,
CERELAC RICE BABY FOOD,109,code128,NESTLE,BABYCARE,1111,1111,1111, 190.00 , 184.00 ,1,,Inclusive,CERELACRICEBABYFOOD.jpg,BABYFOOD,,,,,,,,,,,,,,,
CERELAC MULTRIGRAIN DAL BABY FOOD,110,code128,NESTLE,BABYCARE,1111,1111,1111, 257.00 , 220.00 ,1,,Inclusive,CERELACMULTRIGRAINDALBABYFOOD.jpg,BABYFOOD,,,,,,,,,,,,,,,
CERELAC MULTRIGRAIN CEREAL MILK & FRUIT BABY FOOD,111,code128,NESTLE,BABYCARE,1111,1111,1111, 277.00 , 277.00 ,1,,Inclusive,CERELACMULTRIGRAINCEREALMILK&FRUITBABYFOOD.jpg,BABYFOOD,,,,,,,,,,,,,,,
CERELAC MULTRIGRAIN FRUIT BABY FOOD,112,code128,NESTLE,BABYCARE,1111,1111,1111, 257.00 , 247.00 ,1,,Inclusive,CERELACMULTRIGRAINFRUITBABYFOOD.jpg,BABYFOOD,,,,,,,,,,,,,,,
CERELAC WHEAT-RICE MIXED FRUIT BABY FOOD,113,code128,NESTLE,BABYCARE,1111,1111,1111, 246.00 , 237.00 ,1,,Inclusive,CERELACWHEAT-RICEMIXEDFRUITBABYFOOD.jpg,BABYFOOD,,,,,,,,,,,,,,,
CERELAC WHEAT APPLE CHERRY BABY FOOD,114,code128,NESTLE,BABYCARE,1111,1111,1111, 220.00 , 212.00 ,1,,Inclusive,CERELACWHEATAPPLECHERRYBABYFOOD.jpg,BABYFOOD,,,,,,,,,,,,,,,
CERELAC WHEAT APPLE  BABY FOOD,115,code128,NESTLE,BABYCARE,1111,1111,1111, 190.00 , 184.00 ,1,,Inclusive,CERELACWHEATAPPLEBABYFOOD.jpg,BABYFOOD,,,,,,,,,,,,,,,
HIMALAYA GENTLE BABY SOAP,116,code128,HIMALAYA,BABYCARE,1111,1111,1111, 68.00 , 60.00 ,1,,Inclusive,HIMALAYAGENTLEBABYSOAP.jpg,BABYSKIN&HAIR,,,,,,,,,,,,,,,
HIMALAYA GENTLE BABY SOAP,117,code128,HIMALAYA,BABYCARE,1111,1111,1111, 48.00 , 44.00 ,1,,Inclusive,HIMALAYAGENTLEBABYSOAP.jpg,BABYSKIN&HAIR,,,,,,,,,,,,,,,
