Name,Code,Image name
7UP,100001,guess.png
ABBOTT,100002,guess.png
ACT II,100003,guess.png
AHAR,100004,guess.png
AJANTA,100005,guess.png
ALLOUT,100006,guess.png
AMBIPUR,100007,guess.png
AMUL,100008,guess.png
ANANDA,100009,guess.png
ARIEL,100010,guess.png
ASHIRVAD,100011,guess.png
BAGRRY'S,100012,guess.png
BAMBINO,100013,guess.png
BAYGON,100014,guess.png
BENSON & HEDGES,100015,guess.png
BISLERI,100016,guess.png
BOROLINE,100017,guess.png
BRITANNIA,100018,guess.png
BROOKE BOND,100019,guess.png
BROWN & POLSON,100020,guess.png
BRU,100021,guess.png
CADBURY,100022,guess.png
CATCH,100023,guess.png
CHERRY,100024,guess.png
CHINGS,100025,guess.png
CLARET,100026,guess.png
CLASSIC,100027,guess.png
CLOSEUP,100028,guess.png
COCA COLA,100029,guess.png
COLGATE,100030,guess.png
COLGATE -PALMOLIVE,100031,guess.png
COLIN,100032,guess.png
DABUR,100033,guess.png
DAWAT,100034,guess.png
DEL MONTE,100035,guess.png
DETTOL,100036,guess.png
DHAMPUR,100037,guess.png
DIVYA SOAPS,100038,guess.png
DOVE,100039,guess.png
EMAMI,100040,guess.png
ENO,100041,guess.png
EVEREST,100042,guess.png
FAIR & LOVELY,100043,guess.png
FLORIA,100044,guess.png
FORTUNE,100045,guess.png
GALAXY,100046,guess.png
GANPATI PLASTICS,100047,guess.png
GLOBAL HEALTHCARE,100048,guess.png
GODREJ,100049,guess.png
GOODNIGHT,100050,guess.png
GRAND CHEMICAL WORKS,100051,guess.png
GREENS,100052,guess.png
GSK,100053,guess.png
HALDIRAM,100054,guess.png
HAMDARD,100055,guess.png
HANSAPLAST,100056,guess.png
HARIDARSHAN,100057,guess.png
HARPIC,100058,guess.png
HEAD & SHOULDER,100059,guess.png
HEINZ,100060,guess.png
HERSHEY,100061,guess.png
HIMALAYA,100062,guess.png
HINDUSTAN FOODS,100063,guess.png
HIT,100064,guess.png
HUL,100065,guess.png
INDIA GATE,100066,guess.png
ITC,100067,guess.png
JHONSON & JHONSON,100068,guess.png
JK,100069,guess.png
JYOTHY LABROTRIES,100070,guess.png
KAMASUTRA,100071,guess.png
KELLOGG'S,100072,guess.png
KRUKURE,100073,guess.png
LAYS,100074,guess.png
LEHAR PEPSI,100075,guess.png
LIFEBUOY,100076,guess.png
LIZOL,100077,guess.png
LIZZAT,100078,guess.png
L'OREL,100079,guess.png
LUX,100080,guess.png
MAGGI,100081,guess.png
MAJA HEALTH CARE,100082,guess.png
MARICO LIMITED,100083,guess.png
MARLBORO,100084,guess.png
MDH,100085,guess.png
MFM,100086,guess.png
MILKFOOD,100087,guess.png
MOHUN'S,100088,guess.png
MTR,100089,guess.png
NESCAFE,100090,guess.png
NESTLE,100091,guess.png
NIVEA,100092,guess.png
NOVA,100093,guess.png
NUTRELA,100094,guess.png
ODONIL,100095,guess.png
ORGANIC INDIA,100096,guess.png
P&G,100097,guess.png
PANASONIC,100098,guess.png
PARAMOUNT,100099,guess.png
PARAS PLASTICS,100100,guess.png
PARK AVENUE,100101,guess.png
PARLE,100102,guess.png
PARLE AGRO,100103,guess.png
PARLE-G,100104,guess.png
PASEO,100105,guess.png
PATANJALI,100106,guess.png
PATANJALI COW,100107,guess.png
PEPSICO,100108,guess.png
PFIZER ,100109,guess.png
PONDS,100110,guess.png
POSTER,100111,guess.png
PRIL,100112,guess.png
PROTINEX,100113,guess.png
RAJDHANI,100114,guess.png
RAJESH PLASTIC,100115,guess.png
RAMDEV,100116,guess.png
RATH,100117,guess.png
RECKITT BENCKISER,100118,guess.png
RED BULL,100119,guess.png
REVIVE,100120,guess.png
ROYAL CHALLANGE,100121,guess.png
RUBICON FORMULATIONS,100122,guess.png
SAFFOLA,100123,guess.png
SAUNDARYA PRASARAK,100124,guess.png
SAVLONN,100125,guess.png
SCHWEPPS,100126,guess.png
SCOTCH BRITE,100127,guess.png
SHAGUN,100128,guess.png
SHAKTI COCO,100129,guess.png
SUNDROP,100130,guess.png
SUNFEAST,100131,guess.png
TATA,100132,guess.png
TATA SAMPANN,100133,guess.png
TEA,100134,guess.png
TOPS,100135,guess.png
TROPICANA,100136,guess.png
UNICHARM INDIA,100137,guess.png
VANESA CARE,100138,guess.png
VANISH,100139,guess.png
VEEBA,100140,guess.png
VIM,100141,guess.png
VIMAN,100142,guess.png
VINI COSMETICS,100143,guess.png
WAI WAI,100144,guess.png
WILD STONE,100145,guess.png
WIPRO ENTERPRISE,100146,guess.png
WRAP IT RIGHT,100147,guess.png
ZANDU,100148,guess.png
ZYDUS WELLNESS,100149,guess.png
ZYDUS WELNESS,100150,guess.png
